school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Kansas,Big 12,11.10,13.86,118.69,81.78
Gonzaga,WCC,18.79,3.91,122.52,90.21
Duke,ACC,15.97,6.58,117.58,84.69
Michigan State,Big Ten,11.83,10.08,116.94,85.16
Baylor,Big 12,6.68,13.45,113.16,82.92
Arizona,Pac-12,10.01,9.48,113.66,85.52
Ohio State,Big Ten,7.25,12.12,115.64,86.31
Dayton,A-10,11.64,7.53,119.36,90.07
West Virginia,Big 12,6.90,11.61,110.18,82.29
San Diego State,MWC,4.37,14.01,114.19,85.74
Oregon,Pac-12,10.63,7.59,119.49,91.94
Louisville,ACC,8.62,9.32,116.77,89.03
Michigan,Big Ten,9.60,8.34,114.03,87.53
Maryland,Big Ten,7.42,10.41,114.29,87.68
Florida State,ACC,10.06,7.22,112.43,86.94
Creighton,Big East,11.95,5.29,118.51,93.25
Brigham Young,WCC,11.83,5.10,117.05,91.35
Villanova,Big East,7.44,9.40,114.40,89.56
Texas Tech,Big 12,6.29,10.53,111.50,86.00
Seton Hall,Big East,9.10,7.65,112.76,88.17
Houston,AAC,5.82,10.65,113.32,88.22
Minnesota,Big Ten,7.22,9.17,112.28,88.11
Purdue,Big Ten,4.01,12.30,110.75,85.53
Penn State,Big Ten,9.55,6.58,111.62,88.15
Iowa,Big Ten,13.15,2.93,118.47,94.11
Wisconsin,Big Ten,2.00,13.95,111.85,87.52
Kentucky,SEC,7.73,8.05,113.37,89.78
Rutgers,Big Ten,4.46,11.26,109.11,85.12
Butler,Big East,2.85,12.71,112.94,88.71
Marquette,Big East,12.67,2.77,114.87,92.27
Illinois,Big Ten,5.48,9.80,112.19,89.12
Indiana,Big Ten,6.10,8.98,111.00,88.93
Auburn,SEC,10.38,4.65,112.56,90.38
Florida,SEC,5.08,9.86,113.49,90.97
Colorado,Pac-12,6.00,8.91,110.26,87.87
Louisiana State,SEC,14.16,0.27,118.29,96.46
Utah State,MWC,5.67,7.99,110.04,89.15
Wichita State,AAC,4.68,8.98,106.22,85.90
Oklahoma,Big 12,6.99,6.49,109.59,89.17
Arkansas,SEC,9.05,4.41,109.40,89.37
Providence,Big East,5.42,8.03,108.99,88.94
Stanford,Pac-12,3.11,10.25,106.51,86.22
Xavier,Big East,4.39,8.18,106.80,88.04
Washington,Pac-12,5.31,7.10,107.14,88.25
Cincinnati,AAC,6.86,5.48,108.97,90.14
