school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Abilene Christian NCAA,.794,-1.91,67.2,108.7,.336,.345,.565,50.3,58.5,12.9,8.0,.535,15.5,28.8,.239
Air Force,.438,-4.28,67.4,99.5,.283,.400,.541,50.1,54.1,7.0,5.8,.517,17.4,23.7,.192
Akron,.515,4.86,68.5,100.1,.277,.477,.515,48.2,50.1,8.2,8.9,.485,15.0,25.3,.195
Alabama,.529,9.45,69.8,102.8,.380,.369,.533,52.0,48.8,6.6,11.6,.503,16.8,31.5,.253
Alabama A&M,.156,-19.23,67.5,88.7,.250,.320,.479,47.1,52.3,10.7,4.7,.457,19.4,27.6,.157
Alabama State,.387,-15.60,69.6,95.9,.388,.382,.499,49.0,44.0,9.3,9.3,.465,17.8,30.9,.253
Albany (NY),.375,-9.38,66.7,99.2,.322,.451,.533,49.7,55.2,9.0,7.1,.494,18.4,27.1,.240
Alcorn State,.323,-22.08,68.8,93.2,.316,.375,.504,49.9,55.1,10.7,9.8,.473,19.9,30.1,.213
American,.500,-4.19,67.7,104.6,.358,.355,.561,50.4,51.5,10.7,11.0,.532,16.7,26.1,.250
Appalachian State,.344,-3.73,73.7,107.6,.364,.420,.562,48.6,46.1,7.2,6.9,.529,15.5,26.5,.261
Arizona,.531,8.32,68.6,102.6,.333,.376,.526,50.5,50.1,7.5,6.6,.490,14.7,28.4,.240
Arizona State NCAA,.676,10.28,72.5,105.4,.438,.355,.543,52.6,51.1,8.5,9.6,.506,16.1,31.3,.298
Arkansas,.529,11.75,71.7,104.2,.384,.375,.540,47.0,60.8,11.2,15.4,.510,16.0,28.3,.256
Arkansas State,.406,-7.10,70.2,102.6,.379,.372,.525,51.5,45.6,8.0,11.8,.480,16.6,33.2,.278
Arkansas-Pine Bluff,.406,-14.43,67.3,96.4,.417,.341,.522,49.4,50.8,9.9,9.5,.484,19.1,29.1,.282
Army,.406,-7.57,71.7,98.9,.241,.441,.520,48.9,59.6,8.6,4.6,.497,14.7,21.8,.165
Auburn NCAA,.750,20.84,69.2,114.1,.312,.494,.569,49.2,52.1,13.2,15.6,.543,14.3,31.6,.221
Austin Peay,.667,0.59,71.8,113.1,.342,.341,.566,51.7,46.7,10.5,9.2,.537,14.1,33.1,.242
Ball State,.485,3.39,71.7,103.1,.375,.328,.556,51.5,47.9,9.0,8.8,.523,17.7,27.7,.263
Baylor NCAA,.588,13.38,66.5,107.6,.323,.408,.538,54.1,54.4,9.2,13.8,.512,16.4,37.6,.219
Belmont NCAA,.818,9.12,74.2,116.2,.286,.440,.603,52.2,61.9,8.9,9.1,.580,13.7,25.1,.211
Bethune-Cookman,.452,-11.98,74.3,98.6,.363,.334,.514,52.1,53.3,10.1,8.8,.492,18.4,34.2,.221
Binghamton,.303,-13.92,67.3,96.9,.245,.428,.523,45.6,40.9,8.2,12.6,.505,16.6,21.4,.158
Boise State,.394,3.61,66.5,106.9,.324,.397,.569,49.8,47.1,9.0,6.4,.539,15.4,23.7,.234
Boston College,.452,5.83,68.4,101.9,.350,.380,.521,48.7,49.7,7.4,9.1,.485,15.2,28.6,.244
Boston University,.455,-6.61,68.1,105.8,.243,.332,.556,51.5,48.5,8.8,6.6,.537,16.5,28.7,.166
Bowling Green State,.647,4.24,72.8,106.9,.354,.357,.535,53.5,45.2,9.1,7.7,.507,14.2,31.1,.237
Bradley NCAA,.571,-0.08,66.2,100.2,.359,.348,.531,50.7,52.1,8.0,11.6,.497,16.7,26.9,.248
Brigham Young,.594,6.15,71.9,108.5,.399,.364,.566,49.0,54.9,8.7,8.8,.528,13.7,23.6,.290
Brown,.625,-0.62,72.6,100.6,.377,.410,.549,50.0,51.9,10.3,11.0,.513,17.6,23.5,.270
Bryant,.333,-15.19,69.2,100.6,.368,.421,.529,47.3,45.0,7.6,7.5,.490,16.3,26.7,.262
Bucknell,.636,0.59,71.4,107.2,.339,.459,.566,49.8,59.9,7.3,8.9,.530,15.5,25.5,.254
Buffalo NCAA,.889,15.56,74.5,112.8,.327,.436,.561,52.4,55.3,9.8,10.1,.535,13.8,31.8,.225
Butler,.485,9.22,67.1,106.4,.252,.428,.548,48.3,50.4,8.7,5.7,.521,14.2,25.5,.186
Cal Poly,.207,-13.95,66.8,97.5,.264,.401,.500,46.8,42.6,7.4,8.9,.477,14.8,26.1,.171
Cal State Bakersfield,.529,-5.12,67.6,103.7,.296,.326,.505,53.3,42.7,9.4,10.4,.477,15.5,37.4,.199
Cal State Fullerton,.471,-3.29,70.3,100.1,.380,.308,.540,50.3,46.9,8.2,8.7,.503,16.6,23.9,.269
Cal State Northridge,.382,-6.54,72.1,105.0,.321,.308,.536,47.9,52.9,9.1,11.3,.516,14.5,27.7,.205
California,.258,-3.16,68.5,99.5,.348,.341,.525,44.6,45.7,10.7,10.0,.486,14.8,23.3,.251
California Baptist,.516,-3.89,70.1,108.9,.310,.430,.563,52.1,41.5,6.7,7.0,.524,15.1,28.2,.244
Campbell,.606,-3.62,68.0,110.7,.310,.478,.571,47.8,55.6,9.7,9.9,.537,13.4,23.7,.235
Canisius,.469,-8.79,68.5,101.5,.314,.431,.534,47.3,58.4,9.2,9.7,.505,16.4,27.1,.217
Central Arkansas,.424,-11.37,72.0,99.5,.350,.412,.537,48.2,57.2,8.4,10.1,.498,17.7,25.1,.256
Central Connecticut State,.355,-14.02,70.4,99.4,.348,.336,.520,50.1,46.8,7.8,10.9,.469,16.8,29.9,.272
Central Michigan,.657,2.79,73.6,110.5,.417,.378,.555,49.6,47.1,10.2,7.4,.525,14.0,31.4,.280
